AUROC,AUPRC,P_5000,NDCG,Computing_time
0.7633001451352192,0.009324813224090895,0.0418,0.5639659743055631,440.65271615982056
0.7615400377603587,0.008983402258751674,0.0402,0.5617404113784372,438.57407093048096
0.7551892767003975,0.010676608380322191,0.0412,0.5644635310666661,436.57445788383484
0.7613485700958439,0.009510134230012651,0.0434,0.5638022325080353,439.31693410873413
0.7630765134783749,0.01009254694141157,0.0406,0.5649387231302648,436.5985960960388
0.7596726222426298,0.008899787930896873,0.0394,0.561365888372089,439.27841305732727
0.7597165212700493,0.009522707159863518,0.038,0.5629695654665411,439.47061681747437
0.7672482195701846,0.00902264299014394,0.0398,0.5635138917781373,437.75727915763855
0.7597335358769467,0.011602964924359867,0.047,0.5678827989327982,436.36847591400146
0.7636036829416296,0.010086566026018437,0.045,0.5655037571663708,439.00445008277893
